128174	16	179	150	474
128186	15	305	90	473
128243	14	399	40	470
128693	17	2	200	474
128840	15	149	90	473
129098	17	65	200	474
129109	16	65	150	474
129167	14	404	40	470
129245	17	10	200	474
129429	15	87	90	473
129512	17	11	200	474
129520	16	18	150	474
129685	17	42	200	474
129686	16	48	150	474
129790	16	17	150	474
129971	17	17	200	474
129978	16	13	150	474
130068	17	17	200	474
130069	16	14	150	474
130226	16	18	150	474
130230	17	27	200	474
130256	15	229	90	473
130341	17	9	200	474
130355	16	13	150	474
130696	16	27	150	474
131600	16	543	150	474
131602	17	549	200	474
131727	16	43	150	474
131901	14	1684	40	470
132411	15	1	90	473
132684	15	2	90	473
132950	14	2	40	470
133559	16	89	150	474
133561	15	90	90	473
134523	15	1	90	473
134776	15	2	90	473
135335	14	17	40	470
136127	14	15	40	470
137144	14	14	40	470
137626	14	11	40	470
137859	14	15	40	470
138601	15	1	90	473
139120	15	5	90	473
139415	14	15	40	470
139648	14	6	40	470
140387	14	8	40	470
140877	14	8	40	470
141376	14	7	40	470
141858	14	4	40	470
144431	14	11	40	470
145404	14	9	40	470
146179	14	12	40	470
147190	14	10	40	470
147666	14	5	40	470
148635	14	6	40	470
149250	14	1	40	470
149507	14	2	40	470
149806	14	4	40	470
150354	14	1	40	470
154082	14	12	40	470
154314	14	5	40	470
154782	14	6	40	470
155020	17	28	200	474
155159	15	93	90	473
155274	16	23	150	474
155584	15	258	90	473
155646	14	466	40	470
155977	14	1	40	470
156482	14	6	40	470
156702	14	5	40	470
156864	16	34	150	474
157107	16	40	150	474
157107	17	37	200	474
157193	14	72	40	470
157593	17	192	200	474
157595	16	200	150	474
157686	14	279	40	470
157878	15	34	90	473
158349	17	196	200	474
158474	14	288	40	470
158906	15	243	90	473
158910	16	207	150	474
159139	17	19	200	474
159147	16	20	150	474
159153	15	24	90	473
159474	17	88	200	474
159481	16	89	150	474
159568	14	129	40	470
159570	14	1	40	470
159650	17	18	200	474
159719	14	37	40	470
159924	15	25	90	473
160115	17	24	200	474
160121	16	23	150	474
160168	14	55	40	470
160485	15	103	90	473
160556	15	1	90	473
160670	15	37	90	473
160860	17	10	200	474
160883	15	24	90	473
161225	17	74	200	474
161226	16	83	150	474
161287	14	132	40	470
161377	16	12	150	474
161445	14	46	40	470
161694	14	42	40	470
161841	16	12	150	474
161934	14	44	40	470
162201	16	97	150	474
162212	17	93	200	474
162237	15	123	90	473
162403	17	47	200	474
162411	16	51	150	474
162609	17	22	200	474
162610	15	25	90	473
162789	16	1	150	474
162980	15	92	90	473
163098	17	3	200	474
163109	16	9	150	474
163183	14	37	40	470
163412	15	55	90	473
163458	14	82	40	470
163611	16	13	150	474
163623	15	27	90	473
163929	17	63	200	474
163955	15	89	90	473
164127	17	21	200	474
164130	16	16	150	474
164209	14	57	40	470
164482	17	37	200	474
164487	16	34	150	474
164564	15	1	90	473
164874	16	50	150	474
164874	17	45	200	474
